output,train_r2,train_rmse,cv_r2_mean,cv_r2_std
VPI (duty cycle),0.9999996211258341,0.0009092106127399285,0.9998337288386063,7.946329782896933e-05
nm,0.9989857131625982,0.008040421756951148,0.9752529063523652,0.008074182802212749
Z0,0.9993473835559478,0.26694723824087535,0.9901588642148198,0.003060019222676687
S21,0.9987812640976175,0.014323802738511962,0.6808517226388158,0.10096328475529745
Rdc/cm,0.9061283267854842,0.3356357123317392,0.642782541515396,0.16359784188225396
