output,train_r2,train_rmse,cv_r2_mean,cv_r2_std,cv_r2_min,cv_r2_max
VPI (duty cycle),0.9999996211258341,0.0009092106127399312,0.9998356349038937,7.632838323616985e-05,0.9997275184814005,0.999952543151616
nm,0.9989857131625982,0.008040421756951148,0.9752407684764257,0.008086576021092967,0.9652098471615692,0.9875473787733766
Z0,0.9993473835559478,0.26694723824087535,0.9901617268821934,0.003056134220145096,0.9868589203219612,0.9952716970537607
S21,0.9999997477418353,0.0002060753967963418,0.6069509210863154,0.11512477100210336,0.4005704148096796,0.7314151824832233
